entry,attribution
ADAMANTEAN,Milton
ADANCE,Lowell
ADANGLE,Browning
ADANSONIA,Eaton
ADAPT,Angus
ADAPT,Macaulay
ADAPTATIVE,Stubbs
ADAPTION,Cheyne
ADAPTIVE,Coleridge
ADARCE,Dana
ADAW,Spenser
ADD,Macaulay
ADDER,Gen
ADDER'S-TONGUE,Gray
ADDIBILITY,Locke
ADDICT,Fuller
ADDICT,Macaulay
ADDICT,Evelyn
ADDITAMENT,Fuller
ADDITAMENT,Coleridge
ADDITITIOUS,Herschel
ADDLE,Tusser
ADDLE-BRAINED; ADDLE-HEADED; ADDLE-PATED,Dryden
ADDRESS,Spenser
ADDRESS,Spenser
ADDRESS,Dryden
ADDRESS,Taylor
ADDRESS,Macaulay
ADDRESS,Jewel
ADDRESS,Swift
ADDRESS,Dryden
ADDRESS,Addison
ADDUCE,Macaulay
ADDUCIBLE,Taylor
ADDUCT,Huxley
ADDUCTION,Taylor
ADDUCTION,Dunglison
ADDUCTOR,Verrill
ADELANTADO,Prescott
ADEMPTION,Bouvier
ADENIFORM,Dunglison
ADENITIS,Dunglison
ADEPT,Cowper
ADEPTION,Grafton
ADEQUATE,De Quincey
ADEQUATE,Shelford
ADEQUATION,Barlow
ADHERENCY,More
ADHERENT,Pope
ADHESION,De Quincey
ADHESION,Macaulay
ADHIBIT,Muirhead
ADHIBIT,Camden
ADHIBIT,Alison
ADHIBITION,Whitaker
ADIABATIC,Rankine
ADIAPHORIST,Murdock
ADIAPHOROUS,Taylor
ADIEU,Adieus
ADIEU,Shak
ADIT,Tennyson
ADJACENCE; ADJACENCY,Browne
ADJACENT,Howell
ADJECT,Leland
ADJECTITIOUS,Parkhurst
ADJECTIVE,Fuller
ADJECTIVE,Tooke
ADJOIN,Blackstone
ADJOIN,Spenser
ADJOINING,Shak
ADJOURN,Barrow
ADJOURNAL,Scott
ADJUDGE,Milton
ADJUDGE,Knolles
ADJUDICATION,Abbott
ADJUNCT,Shak
ADJUNCT,Shak
ADJUNCT,Wotton
ADJURATION,Hall
ADJURATION,Addison
ADJURE,Adjuring]
ADJURE,Marshall
ADJUST,Johnson
ADJUSTMENT,Paley
ADJUSTMENT,Bispham
ADJUTANCY,Burke
ADLEGATION,Brit
ADMEASURE,Blackstone
ADMINICLE,Grote
ADMINICLE,Bell
ADMINICULAR,Spencer
ADMINISTER,Pope
ADMINISTER,Philips
ADMINISTER,Macaulay
ADMINISTER,Macaulay
ADMINISTER,Shak
ADMINISTER,Spectator
ADMINISTRATION,Macaulay
ADMINISTRATION,Macaulay
ADMINISTRATION,Johnson
ADMIRABLE,Taylor
ADMIRAL,Everett
ADMIRALTY,Prescott
ADMIRATION,Shak
ADMIRATION,Shak
ADMIRE,Fuller
ADMIRE,Pope
ADMIRE,Fuller
ADMIRER,Cowper
ADMIRING,Shak
ADMISSION,Macaulay
ADMISSION,Shipley
ADMIT,Hume
ADMITTABLE,Browne
ADMITTANCE,South
ADMITTANCE,Dryden
ADMITTANCE,Shak
ADMITTANCE,Browne
ADMITTANCE,Bouvier
ADMIXTION,Glanvill
ADMONISH,Milton
ADMOVE,Browne
ADNOMINAL,Gibbs
ADO,Dryden
ADO,Shak
ADOLESCENT,Cowper
ADONIZE,Smollett
ADOOR; ADOORS,Shak
ADOPTION,Taylor
ADORABLE,Cheyne
ADORABLENESS,Johnson
ADORATION,Farmer
ADORATION,Froude
ADORE,Spenser
ADOREMENT,Browne
ADORER,Shak
ADORN,Goldsmith
ADOWN,Prior
ADREAD,Sidney
ADRIFT,Dryden
ADRIFT,Wordsworth
ADRIP,Mitchell
ADROITNESS,Motley
ADSCRIPT,Bancroft
ADSCRIPTIVE,Brougham
ADULATE,Byron
ADULATOR,Carlyle
ADULATORY,Burke
ADULTER,Jonson
ADULTERATION,Prescott
ADULTERINE,Adam Smith
ADULTERIZE,Milton
ADULTERY,Jonson
ADULTERY,Jonson
ADUMBRATE,Taylor
ADUMBRATION,Horsley
ADUMBRATIVE,Carlyle
ADUNATION,Taylor
ADUNCITY,Pope
ADUST,Scott
ADUSTION,Buchanan
ADVANCE,Shak
ADVANCE,Pope
ADVANCE,Spenser
ADVANCE,Prescott
ADVANCE,Swift
ADVANCE,Jay
ADVANCE,Kent
ADVANCED,Hawthorne
ADVANCEMENT,More
ADVANCEMENT,Horsley
ADVANCER,Howell
ADVANTAGE,Shak
ADVANTAGE,Macaulay
ADVANTAGE,Shak
ADVANTAGEOUS,Prescott
ADVANTAGEOUS,Chesterfield
ADVENE,Coleridge
ADVENT,Young
ADVENT,Tennyson
ADVENTITIOUS,Burke
ADVENTIVE,Accidental
ADVENTIVE,Gray
ADVENTUAL,Sanderson
ADVENTURE,Milton
ADVENTURE,Berners
ADVENTURE,Macaulay
ADVENTURE,Bacon
ADVENTURE,Taylor
ADVENTURE,Shak
ADVENTUROUS,Milton
ADVERBIALITY,Earle
ADVERSARY,Shak
ADVERSARY,Beattie
ADVERSARY,King
ADVERSATIVE,Harris
ADVERSE,Southey
ADVERSE,Abbott
ADVERSION,More
ADVERSITY,Bacon
ADVERT,Owen
ADVERTENCE; ADVERTENCY,Mill
ADVERTENT,Hale
ADVERTISEMENT,Burnet
ADVERTISEMENT,Shak
ADVICE,Franklin
ADVICE,McElrath
ADVISABLE,South
ADVISE,Shak
ADVISE,Milton
ADVISEMENT,Daniel
ADVISEMENT,Spenser
ADVISO,Browne
ADVISORY,Trumbull
ADVOCATE,Burke
ADVOCATE,Mitford
ADVOCATION,Taylor
ADVOCATION,Sanderson
ADVOCATION,Bell
ADVOKE,Fuller
ADVOWEE,Cowell
ADVOWSON,Cyc
AEDILESHIP,Arnold
AEGILOPS,Crabb
AEOLIAN,Campbell
AEOLIAN,Moore
AEOLOTROPIC,Thomson
AERIAL,Gray
AEROGNOSY,Craig
AERY,Arnold
AESTHETICISM,Lowell
AFAR,Beattie
AFEARD,Shak
AFER,Milton
AFFABLE,Shak
AFFABLE,Macaulay
AFFABLE,Tatler
AFFAIR,Chapman
AFFAIR,Hawthorne
AFFAMISHMENT,Hall
AFFECT,Milton
AFFECT,Macaulay
AFFECT,Fuller
AFFECT,Hazlitt
AFFECT,Milton
AFFECT,Newton
AFFECT,Shak
AFFECT,Thackeray
AFFECTATION,Locke
AFFECTATION,Pearson
AFFECTATIONIST,Hall
AFFECTED,Chapman
AFFECTED,Shak
AFFECTED,Addison
AFFECTER,Secker
AFFECTIBLE,Coleridge
AFFECTING,Shak
AFFECTION,Tennyson
AFFECTION,Cogan
AFFECTION,Macaulay
AFFECTION,Aylmer
AFFECTION,Wotton
AFFECTION,Spenser
AFFECTIONATE,Sprat
AFFECTIONATED,Holinshed
AFFECTIVE,Rogers
AFFEER,Blackstone
AFFEERER; AFFEEROR,Cowell
AFFEERMENT,Blackstone
AFFIANCE,Stephen
AFFIANCE,Tennyson
AFFIANCE,Spenser
AFFIDAVIT,Burrill
AFFILIATE,Spencer
AFFILIATION,Spencer
AFFINITY,Burton
AFFIRM,Milton
AFFIRMANCE,Bacon
AFFIRMANCE,Cowper
AFFIRMATION,Hooker
AFFIRMATION,Bouvier
AFFIRMATIVE,Taylor
AFFIRMATIVE,Berkeley
AFFIRMATIVE,Dryden
AFFIRMATORY,Massey
AFFIX,Ray
AFFIXION,Adams
AFFLATUS,Spence
AFFLICT,Milton
AFFLICT,Taylor
AFFLICTEDNESS,Hall
AFFLICTION,Shak
AFFLICTION,Addison
AFFLICTIVE,Prior
AFFLUENCE,Wotton
AFFLUENCE,Carlyle
AFFLUENCE,Coldsmith
AFFLUENT,Reed
AFFLUENT,Prior
AFFLUXION,Browne
AFFORCE,Hallam
AFFORCEMENT,Hallam
AFFORD,Addison
AFFORD,Gilpin
AFFORD,Hamilton
AFFORD,Wordsworth
AFFORESTATION,Blackstone
AFFRANCHISE,Johnson
AFFRAY,Chaucer
AFFRAY,Shak
AFFRAY,Blackstone
AFFRIGHT,Shak
AFFRIGHT,Milton
AFFRIGHT,Jonson
AFFRIGHTEDLY,Drayton
AFFRIGHTFUL,Cudworth
AFFRIGHTMENT,Locke
AFFRONT,Holland
AFFRONT,Shak
AFFRONT,Milton
AFFRONT,Addison
AFFRONT,Arbuthnot
AFFRONT,Crabb
AFFRONTEE,Lytton
AFFRONTIVE,South
AFFUSE,Boyle
AFFUSION,Dunglison
AFFY,Montagu
AFLAME,Eliot
AFLAUNT,Copley
AFLOAT,Shak
AFLOW,Browning
AFLUSH,Swinburne
AFOOT,Shak
AFOOT,Shak
AFORE,Shak
AFOREHAND,Bacon
AFOREMENTIONED,Addison
AFORENAMED,Peacham
AFORETHOUGHT,Bouvier
AFRONT,Shak
AFTER,Marshall
AFTER,Shak
AFTER,Matt
AFTER,Goldsmith
AFTER,Rom
AFTER,Bacon
